temperature,moisture,color,label
12.74423071,92.3989829,green,1
13.76773565,96.68695467,green,0
20.50383528,94.9460336,green,1
14.81221236,96.18568851,green,0
13.45566867,94.47121858,green,0
16.16269745,97.57927255,green,0
15.96988287,96.67700738,green,0
13.62342478,95.61084816,green,0
,97.06256331,green,1
15.22544008,92.99267098,green,1
13.1536829,95.16301735,,0
12.29804929,97.14517689,green,0
12.08961466,98.94146826,green,1
11.34114506,93.60912812,yellow,1
11.68298675,98.6118961,green,1
19.77821905,92.99711483,green,1
12.10746085,96.75760873,green,0
15.23963102,97.8419602,green,0
13.63477141,93.44314517,green,1
12.16285352,,green,0
14.1459848,94.58890016,green,0
16.23106004,93.28183956,green,1
,95.94179028,green,0
8.412005323,93.73969217,green,1
14.83705291,96.67569007,,0
13.95305422,95.97772017,green,0
16.41743881,95.18711699,green,0
12.66705602,96.22288064,green,0
13.18263114,96.67811366,green,0
11.76735512,95.31600084,green,0
15.67072085,96.72126157,green,0
16.99490079,93.81431833,,1
19.26387253,97.06186763,green,1
13.54642947,96.15492044,green,0
12.90055955,96.00163857,yellow,1
16.31160119,95.80364723,green,0
19.92801536,95.126425,green,1
16.47651966,95.7442964,green,0
13.32039553,95.78913041,green,0
9.172183548,98.63235827,green,1
,98.15181024,yellow,1
15.44021942,96.61825621,green,0
16.3406298,96.75009905,green,0
14.2376294,94.41437931,green,0
16.30108185,95.96827805,green,0
15.4643499,96.74955647,green,0
16.22602419,93.88832605,green,1
13.10955767,98.90781614,green,1
13.72311863,95.5657409,green,0
18.13708947,97.56988937,green,1
15.81967794,92.93915819,green,1
12.7077329,95.55219145,yellow,1
,100.3217544,green,1
11.97607153,96.49743626,green,0
16.23634837,97.96632563,green,0
12.88705672,98.04552806,yellow,1
11.6000627,97.64437748,,1
18.52325579,98.16785231,green,1
16.16243451,94.78937833,green,0
18.50379359,96.36504933,green,1
13.71557095,93.57773647,green,1
13.74074295,95.85607283,green,0
8.988454675,,green,1
15.68209619,97.72963257,green,0
14.35859639,96.02575194,green,0
10.71702401,98.85163724,green,1
12.35431232,94.3356329,green,0
12.90129783,93.8602995,green,1
11.43957352,94.6340977,green,0
17.96895472,92.77255767,yellow,1
10.71671757,96.77959564,green,0
14.9022789,93.06906378,yellow,1
,95.97817819,green,0
13.07734462,98.02607298,green,1
15.66586271,98.2090187,purple,1
12.21683637,95.27677615,green,0
10.94480704,97.44707775,green,0
11.18572146,95.88947319,green,0
,96.43580333,green,1
17.60253239,98.08322211,green,1
11.52908627,98.39769893,green,1
9.285968575,96.28451945,green,1
17.44026511,96.41120515,yellow,1
15.08015416,95.84846505,green,0
12.97704064,,green,0
16.79179497,92.11600838,green,1
17.61922881,95.41422079,green,0
8.22681604,94.90145187,green,1
13.32739669,94.95584297,green,0
16.18049492,96.95702277,green,0
14.09291233,97.34660245,green,0
15.25073007,97.33647838,yellow,1
8.845278588,97.0322757,yellow,1
7.569051543,98.22548064,green,1
13.30937938,94.97800917,green,0
17.23020591,96.9698515,green,0
10.60705855,93.14507832,green,1
17.88921881,98.94111066,green,1
10.22762219,92.78651979,purple,1
10.08389811,97.42822331,green,0
