X1,X2,X3,X4,X5,Target
0.374864174,0.766460859,2.091717556,-1.350056362,-0.493429502,3
-0.997636323,-2.086200145,-1.667126208,1.843586876,-0.032541731,0
-1.248075793,-2.105700498,-2.248142511,2.291813427,-0.92175057,0
1.450518142,2.144243157,1.403321152,-2.065706945,2.080834792,3
0.358536276,0.2201668,1.404080602,-0.933085759,0.704131232,2
1.07420309,1.927076324,-2.525956571,0.017873442,2.21772452,1
1.350381439,1.744202749,1.344616155,-1.896412968,2.393360192,3
-0.250925483,0.832965004,-1.914025641,0.90085917,-1.992323775,1
-0.127296326,0.26498834,-0.498849182,0.271674021,-0.890126067,0
0.674133049,,-1.737494547,-0.046093649,0.098502614,1
0.692203093,0.66469374,0.013208398,-0.627478395,1.903106364,0
-0.035663007,0.307080389,0.82179277,-0.397780901,-1.036970517,1
0.932408557,1.318844451,1.052502482,-1.38529142,1.393340106,3
-0.867409339,-0.308903363,1.296596572,0.103240038,-3.844838912,2
-0.268673136,-0.663376694,1.891871933,-0.540764546,-0.679073779,2
-0.227027005,-1.55538396,1.878911273,-0.409997843,1.179371621,2
-0.429936379,-1.148063288,1.381374256,-0.108457242,-0.32068193,2
0.679814139,100,-0.98394813,-0.279574643,1.028864812,1
0.168593133,1.236747121,-1.455214809,0.317240827,-1.006243493,1
-0.019404497,-0.111980626,-0.153122603,0.102688391,0.176918968,1
1.051363339,2.904594928,0.18221197,-1.35617261,-0.704652953,3
0.707426573,1.465930007,-2.140832515,0.192611364,1.268574848,1
0.186262444,1.228853132,-1.323626795,0.246402938,-0.959486297,1
-0.017602731,-0.003262103,120,-0.267861091,-0.303218363,3
-0.782934883,-1.253557343,0.572574544,0.532336187,-1.432220138,2
0.057114548,1.483866436,-2.491114012,0.822501246,-1.593839141,1
0.006429439,0.00480737,-0.554910101,0.244545583,0.224083542,1
-0.540417816,-1.230267454,1.069042724,0.127341355,-0.555059049,2
-0.582154548,-0.794296089,0.381027309,0.391973306,-1.305598449,2
0.148083546,-0.415299478,1.683861571,-0.794731487,0.829870378,2
-0.087965126,-1.06090577,2.251582983,-0.765675139,0.752361538,2
-1.391200402,-3.142730315,-2.617925131,2.743649555,0.497997201,0
-1.232143697,-3.776821353,-2.039459321,2.477173009,2.1919868,2
0.028744444,1.0054702,-0.386688818,-0.021849419,-1.603219794,3
0.659503585,0.811334768,1.081336982,-1.110497801,1.088480269,3
0.225703719,0.611160144,-0.523192824,-0.035566161,0.078373965,1
-0.331951114,-0.787730822,-0.603749396,0.65182573,0.181768417,0
-0.036678192,-0.569904502,0.157565792,0.05504537,0.838626554,2
0.374057004,,-3.483551065,0.941669343,-0.821846162,1
